size,file,constructorCount,declarationCount,expressionCount,groupingOrIIFECount,arrowCount,totalCount
8,drift/src/routines/convertTableToFrame.js,0,0,0,0,1,1
8,drift/src/routines/createArrays.js,0,0,0,0,0,0
8,drift/src/routines/createGui.js,0,0,0,0,0,0
8,drift/src/routines/createPlot.js,0,0,0,0,1,1
8,drift/src/routines/createTempKey.js,0,0,0,0,0,0
8,drift/src/routines/deleteAll.js,0,0,0,0,0,0
8,drift/src/routines/extendBindFrames.js,0,0,0,0,0,0
8,drift/src/routines/extendCancelJob.js,0,0,0,0,0,0
8,drift/src/routines/extendCloud.js,0,0,0,0,0,0
24,drift/src/routines/extendColumnSummary.js,0,0,0,0,9,9
8,drift/src/routines/extendDeletedKeys.js,0,0,0,0,0,0
8,drift/src/routines/extendExportFrame.js,0,0,0,0,0,0
8,drift/src/routines/extendExportModel.js,0,0,0,0,0,0
8,drift/src/routines/extendFrame.js,0,0,0,0,1,1
8,drift/src/routines/extendFrameData.js,0,0,0,0,0,0
8,drift/src/routines/extendFrames.js,0,0,0,0,0,0
8,drift/src/routines/extendFrameSummary.js,0,0,0,0,1,1
8,drift/src/routines/extendGrids.js,0,0,0,0,0,0
8,drift/src/routines/extendGuiForm.js,0,0,0,0,0,0
8,drift/src/routines/extendImportModel.js,0,0,0,0,0,0
8,drift/src/routines/extendImportResults.js,0,0,0,0,0,0
8,drift/src/routines/extendJob.js,0,0,0,0,0,0
8,drift/src/routines/extendJobs.js,0,0,0,0,0,0
8,drift/src/routines/extendLogFile.js,0,0,0,0,0,0
8,drift/src/routines/extendMergeFramesResult.js,0,0,0,0,0,0
8,drift/src/routines/extendModel.js,0,0,0,0,3,3
8,drift/src/routines/extendModels.js,0,0,0,0,1,1
8,drift/src/routines/extendNetworkTest.js,0,0,0,0,0,0
8,drift/src/routines/extendParseResult.js,0,0,0,0,0,0
8,drift/src/routines/extendParseSetupResults.js,0,0,0,0,0,0
8,drift/src/routines/extendPartialDependence.js,0,0,0,0,0,0
8,drift/src/routines/extendPlot.js,0,0,0,0,0,0
8,drift/src/routines/extendPrediction.js,0,0,0,0,0,0
8,drift/src/routines/extendProfile.js,0,0,0,0,0,0
8,drift/src/routines/extendSplitFrameResult.js,0,0,0,0,0,0
8,drift/src/routines/extendStackTrace.js,0,0,0,0,0,0
8,drift/src/routines/extendTimeline.js,0,0,0,0,0,0
8,drift/src/routines/findColumnIndexByColumnLabel.js,0,0,0,0,0,0
8,drift/src/routines/findColumnIndicesByColumnLabels.js,0,0,0,0,0,0
8,drift/src/routines/flow_.js,0,0,0,0,0,0
8,drift/src/routines/format4f.js,0,0,0,0,0,0
8,drift/src/routines/format6fi.js,0,0,0,0,0,0
8,drift/src/routines/formatConfusionMatrix.js,0,0,0,0,0,0
8,drift/src/routines/formulateGetPredictionsOrigin.js,0,0,0,0,1,1
8,drift/src/routines/getCloud.js,0,0,0,0,0,0
8,drift/src/routines/getFrames.js,0,0,0,0,0,0
8,drift/src/routines/getGrids.js,0,0,0,0,0,0
8,drift/src/routines/getJobs.js,0,0,0,0,0,0
8,drift/src/routines/getModelParameterValue.js,0,0,0,0,0,0
8,drift/src/routines/getStackTrace.js,0,0,0,0,0,0
8,drift/src/routines/getTimeline.js,0,0,0,0,0,0
8,drift/src/routines/getTwoDimData.js,0,0,0,0,1,1
8,drift/src/routines/gui.js,0,0,0,0,0,0
8,drift/src/routines/inspect_.js,0,0,0,0,0,0
16,drift/src/routines/inspectFrameColumns.js,0,0,0,0,11,11
8,drift/src/routines/inspectFrameData.js,0,0,0,0,3,3
8,drift/src/routines/inspectModelParameters.js,0,0,0,0,1,1
8,drift/src/routines/inspectNetworkTestResult.js,0,0,0,0,0,0
8,drift/src/routines/inspectObject.js,0,0,0,0,0,0
8,drift/src/routines/inspectObjectArray_.js,0,0,0,0,0,0
8,drift/src/routines/inspectParametersAcrossModels.js,0,0,0,0,5,5
8,drift/src/routines/inspectRawArray_.js,0,0,0,0,0,0
8,drift/src/routines/inspectRawObject_.js,0,0,0,0,1,1
8,drift/src/routines/inspectTwoDimTable_.js,0,0,0,0,0,0
8,drift/src/routines/ls.js,0,0,0,0,0,0
